,instance,solver_config,abs_improvement
5725,Promedas_23.edge,jdrasil-b150-n1,17
9587,Promedas_24.edge,tcs-b100-n1,8
1664,Promedas_25.edge,jdrasil-b125-n1,11
1777,Promedas_26.edge,jdrasil-b125-n1,0
1899,Promedas_27.edge,jdrasil-b125-n1,8
1729,Promedas_28.edge,jdrasil-b125-n1,0
1871,Promedas_29.edge,jdrasil-b125-n1,6
1836,Promedas_30.edge,jdrasil-b125-n1,13
1666,Promedas_31.edge,jdrasil-b125-n1,14
1917,Promedas_32.edge,jdrasil-b125-n1,0
29237,Promedas_33.edge,tcs-b75-n1,7
1798,Promedas_34.edge,jdrasil-b125-n1,13
29206,Promedas_35.edge,tcs-b75-n1,11
9563,Promedas_36.edge,tcs-b100-n1,9
1693,Promedas_37.edge,jdrasil-b125-n1,11
9678,Promedas_38.edge,tcs-b100-n1,6
1733,Promedas_39.edge,jdrasil-b125-n1,12
11743,Promedas_40.edge,jdrasil-b75t1800-n1,12
11774,Promedas_54.edge,jdrasil-b75t1800-n1,6
11762,Promedas_58.edge,jdrasil-b75t1800-n1,9
5750,Promedas_60.edge,jdrasil-b150-n1,3
11815,Promedas_68.edge,jdrasil-b75t1800-n1,6
1771,Promedus_25.edge,jdrasil-b125-n1,2
11675,Promedus_37.edge,jdrasil-b75t1800-n1,3
1875,blockmap_05_03-0000.edge,jdrasil-b125-n1,1
1887,blockmap_05_03-0001.edge,jdrasil-b125-n1,1
1668,blockmap_05_03-0002.edge,jdrasil-b125-n1,1
1751,blockmap_05_03-0003.edge,jdrasil-b125-n1,1
1793,blockmap_05_03-0004.edge,jdrasil-b125-n1,1
1709,blockmap_05_03-0005.edge,jdrasil-b125-n1,1
1882,blockmap_05_03-0006.edge,jdrasil-b125-n1,1
1842,blockmap_05_03-0007.edge,jdrasil-b125-n1,1
1872,blockmap_05_03-0008.edge,jdrasil-b125-n1,1
1783,blockmap_05_03-0009.edge,jdrasil-b125-n1,1
1735,blockmap_05_03-0010.edge,jdrasil-b125-n1,1
1844,blockmap_05_03-0011.edge,jdrasil-b125-n1,1
1792,blockmap_05_03-0012.edge,jdrasil-b125-n1,1
1756,blockmap_05_03-0013.edge,jdrasil-b125-n1,1
1762,blockmap_05_03-0014.edge,jdrasil-b125-n1,1
1820,blockmap_05_03-0015.edge,jdrasil-b125-n1,1
5756,fs-07.edge,jdrasil-b150-n1,2
1860,linkage_11.edge,jdrasil-b125-n1,0
9602,linkage_12.edge,tcs-b100-n1,2
6906,linkage_13.edge,jdrasil-b50-n1,3
1863,linkage_15.edge,jdrasil-b125-n1,5
1851,linkage_17.edge,jdrasil-b125-n1,0
1749,linkage_18.edge,jdrasil-b125-n1,0
1840,linkage_20.edge,jdrasil-b125-n1,0
1853,linkage_23.edge,jdrasil-b125-n1,1
1884,linkage_24.edge,jdrasil-b125-n1,2
9720,linkage_25.edge,tcs-b100-n1,5
1710,linkage_26.edge,jdrasil-b125-n1,0
1738,log-2.cnf.edge,jdrasil-b125-n1,0
1876,log-3.cnf.edge,jdrasil-b125-n1,0
1865,logistics.c.cnf.edge,jdrasil-b125-n1,0
9776,mastermind_03_08_03-0000.edge,tcs-b100-n1,1
9579,mastermind_03_08_03-0001.edge,tcs-b100-n1,1
9653,mastermind_03_08_03-0002.edge,tcs-b100-n1,1
6952,mastermind_03_08_03-0003.edge,jdrasil-b50-n1,1
9593,mastermind_03_08_03-0004.edge,tcs-b100-n1,2
9620,mastermind_03_08_03-0005.edge,tcs-b100-n1,1
9636,mastermind_03_08_03-0006.edge,tcs-b100-n1,2
9768,mastermind_03_08_03-0007.edge,tcs-b100-n1,1
9655,mastermind_03_08_03-0008.edge,tcs-b100-n1,1
9741,mastermind_03_08_03-0009.edge,tcs-b100-n1,1
9703,mastermind_03_08_03-0010.edge,tcs-b100-n1,2
9757,mastermind_03_08_03-0011.edge,tcs-b100-n1,1
9674,mastermind_03_08_03-0012.edge,tcs-b100-n1,1
9600,mastermind_03_08_03-0013.edge,tcs-b100-n1,1
9559,mastermind_03_08_03-0014.edge,tcs-b100-n1,1
9605,mastermind_03_08_03-0015.edge,tcs-b100-n1,1
21857,mastermind_04_08_03-0000.edge,jdrasil-b75-n1,3
6982,mastermind_04_08_03-0001.edge,jdrasil-b50-n1,2
9782,mastermind_04_08_03-0002.edge,tcs-b100-n1,2
21800,mastermind_04_08_03-0003.edge,jdrasil-b75-n1,2
9526,mastermind_04_08_03-0004.edge,tcs-b100-n1,3
21876,mastermind_04_08_03-0005.edge,jdrasil-b75-n1,3
6887,mastermind_04_08_03-0006.edge,jdrasil-b50-n1,1
7145,mastermind_04_08_03-0007.edge,jdrasil-b50-n1,3
21999,mastermind_04_08_03-0008.edge,jdrasil-b75-n1,2
7065,mastermind_04_08_03-0009.edge,jdrasil-b50-n1,1
21749,mastermind_04_08_03-0010.edge,jdrasil-b75-n1,2
21805,mastermind_04_08_03-0011.edge,jdrasil-b75-n1,3
21743,mastermind_04_08_03-0012.edge,jdrasil-b75-n1,3
21966,mastermind_04_08_03-0013.edge,jdrasil-b75-n1,3
9631,mastermind_04_08_03-0014.edge,tcs-b100-n1,3
9643,mastermind_04_08_03-0015.edge,tcs-b100-n1,3
9644,mastermind_05_08_03-0000.edge,tcs-b100-n1,2
21998,mastermind_05_08_03-0001.edge,jdrasil-b75-n1,2
21791,mastermind_05_08_03-0002.edge,jdrasil-b75-n1,2
21877,mastermind_05_08_03-0003.edge,jdrasil-b75-n1,2
20319,mastermind_05_08_03-0004.edge,htd-b150-n1,1
21916,mastermind_05_08_03-0005.edge,jdrasil-b75-n1,2
21822,mastermind_05_08_03-0006.edge,jdrasil-b75-n1,2
21984,mastermind_05_08_03-0007.edge,jdrasil-b75-n1,2
21817,mastermind_05_08_03-0008.edge,jdrasil-b75-n1,1
21898,mastermind_05_08_03-0009.edge,jdrasil-b75-n1,1
21736,mastermind_05_08_03-0010.edge,jdrasil-b75-n1,2
21936,mastermind_05_08_03-0011.edge,jdrasil-b75-n1,2
21855,mastermind_05_08_03-0012.edge,jdrasil-b75-n1,1
21826,mastermind_05_08_03-0013.edge,jdrasil-b75-n1,2
20274,mastermind_05_08_03-0014.edge,htd-b150-n1,2
21980,mastermind_05_08_03-0015.edge,jdrasil-b75-n1,2
21871,mastermind_06_08_03-0000.edge,jdrasil-b75-n1,4
11786,mastermind_06_08_03-0001.edge,jdrasil-b75t1800-n1,2
1804,mastermind_06_08_03-0002.edge,jdrasil-b125-n1,0
9632,mastermind_06_08_03-0003.edge,tcs-b100-n1,3
9629,mastermind_06_08_03-0004.edge,tcs-b100-n1,3
9713,mastermind_06_08_03-0005.edge,tcs-b100-n1,3
9696,mastermind_06_08_03-0006.edge,tcs-b100-n1,2
21866,mastermind_06_08_03-0007.edge,jdrasil-b75-n1,2
21729,mastermind_06_08_03-0008.edge,jdrasil-b75-n1,2
9787,mastermind_06_08_03-0009.edge,tcs-b100-n1,1
21960,mastermind_06_08_03-0010.edge,jdrasil-b75-n1,2
9707,mastermind_06_08_03-0011.edge,tcs-b100-n1,1
7048,mastermind_06_08_03-0012.edge,jdrasil-b50-n1,1
21978,mastermind_06_08_03-0013.edge,jdrasil-b75-n1,2
9769,mastermind_06_08_03-0014.edge,tcs-b100-n1,3
21996,mastermind_06_08_03-0015.edge,jdrasil-b75-n1,2
11894,or_chain_100.fg.edge,jdrasil-b75t1800-n1,11
1864,or_chain_101.fg.edge,jdrasil-b125-n1,0
11713,or_chain_105.fg.edge,jdrasil-b75t1800-n1,7
1770,or_chain_108.fg.edge,jdrasil-b125-n1,14
1814,or_chain_109.fg.edge,jdrasil-b125-n1,0
5702,or_chain_110.fg.edge,jdrasil-b150-n1,13
1682,or_chain_112.fg.edge,jdrasil-b125-n1,0
9596,or_chain_113.fg.edge,tcs-b100-n1,8
1706,or_chain_115.fg.edge,jdrasil-b125-n1,5
9581,or_chain_116.fg.edge,tcs-b100-n1,11
11873,or_chain_119.fg.edge,jdrasil-b75t1800-n1,9
1685,or_chain_120.fg.edge,jdrasil-b125-n1,5
5541,or_chain_121.fg.edge,jdrasil-b150-n1,17
5759,or_chain_124.fg.edge,jdrasil-b150-n1,17
11796,or_chain_127.fg.edge,jdrasil-b75t1800-n1,8
1885,or_chain_129.fg.edge,jdrasil-b125-n1,2
21919,or_chain_130.fg.edge,jdrasil-b75-n1,6
13945,or_chain_134.fg.edge,tcs-b125-n1,4
1670,or_chain_135.fg.edge,jdrasil-b125-n1,0
5785,or_chain_14.fg.edge,jdrasil-b150-n1,14
1773,or_chain_140.fg.edge,jdrasil-b125-n1,0
5777,or_chain_144.fg.edge,jdrasil-b150-n1,13
5659,or_chain_145.fg.edge,jdrasil-b150-n1,17
1893,or_chain_146.fg.edge,jdrasil-b125-n1,0
5527,or_chain_151.fg.edge,jdrasil-b150-n1,11
11920,or_chain_157.fg.edge,jdrasil-b75t1800-n1,11
1724,or_chain_159.fg.edge,jdrasil-b125-n1,0
5569,or_chain_16.fg.edge,jdrasil-b150-n1,17
1910,or_chain_160.fg.edge,jdrasil-b125-n1,9
9690,or_chain_162.fg.edge,tcs-b100-n1,12
1848,or_chain_163.fg.edge,jdrasil-b125-n1,8
1765,or_chain_164.fg.edge,jdrasil-b125-n1,9
1784,or_chain_166.fg.edge,jdrasil-b125-n1,0
11874,or_chain_167.fg.edge,jdrasil-b75t1800-n1,8
11817,or_chain_169.fg.edge,jdrasil-b75t1800-n1,6
1673,or_chain_170.fg.edge,jdrasil-b125-n1,14
11864,or_chain_173.fg.edge,jdrasil-b75t1800-n1,7
1846,or_chain_174.fg.edge,jdrasil-b125-n1,0
11851,or_chain_177.fg.edge,jdrasil-b75t1800-n1,6
27978,or_chain_178.fg.edge,jdrasil-b100-n1,11
1837,or_chain_179.fg.edge,jdrasil-b125-n1,11
1671,or_chain_183.fg.edge,jdrasil-b125-n1,0
